,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,87,49,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,77,59,10.0,2,+1.5,-,17,136,4,4
2,Los Angeles Angels,3,60,76,27.0,8,15.5,12,E,108,11,11
3,Texas Rangers,4,59,76,27.5,9,16.0,12,E,140,12,12
4,Oakland Athletics,5,50,86,37.0,12,25.5,2,E,133,15,15
0,New York Yankees,1,81,54,-,-,-,-,-,147,2,2
1,Tampa Bay Rays,2,76,58,4.5,1,+1.5,-,24,139,3,3
2,Toronto Blue Jays,3,75,60,6.0,3,-,-,22,141,5,5
3,Baltimore Orioles,4,72,64,9.5,4,3.5,24,18,110,6,6
4,Boston Red Sox,5,67,70,15.0,7,9.0,18,12,111,10,10
0,Cleveland Guardians,1,70,64,-,-,-,-,-,114,7,7
1,Minnesota Twins,2,68,65,1.5,5,6.0,23,28,142,8,8
2,Chicago White Sox,3,68,68,3.0,6,7.5,20,25,145,9,9
3,Kansas City Royals,4,55,82,16.5,10,21.0,6,11,118,13,13
4,Detroit Tigers,5,51,85,20.0,11,24.5,3,8,116,14,14
